Customer ID,Total_Revenue,Purchase_Frequency,CLV_Segment
12346,77556.46,12,High Value
12347,4921.53,8,Medium Value
12348,2019.4,5,Low Value
12349,4428.69,4,Medium Value
12350,334.4,1,Low Value
12351,300.93,1,Low Value
12352,2849.84,10,Medium Value
12353,406.76,2,Low Value
12354,1079.4,1,Low Value
12355,947.61,2,Low Value
12356,6371.73,6,High Value
12357,18287.66,3,High Value
12358,3887.07,5,Medium Value
12359,8873.39,10,High Value
12360,4252.89,8,Medium Value
12361,511.25,4,Low Value
12362,5356.23,11,Medium Value
12363,552.0,2,Low Value
12364,1313.1,4,Low Value
12365,641.38,2,Low Value
12366,500.24,1,Low Value
12367,168.9,1,Low Value
12368,917.6999999999999,1,Low Value
12369,1791.15,3,Low Value
12370,4316.56,7,Medium Value
12371,4067.38,5,Medium Value
12372,1298.04,3,Low Value
12373,1127.65,3,Low Value
12374,2989.2200000000003,4,Medium Value
12375,457.5,2,Low Value
12376,503.15,2,Low Value
12377,3426.32,4,Medium Value
12378,5416.32,2,Medium Value
12379,1620.22,4,Low Value
12380,9676.300000000001,11,High Value
12381,1845.31,5,Low Value
12383,1850.56,5,Low Value
12384,585.27,2,Low Value
12385,1938.4,1,Low Value
12386,401.9,2,Low Value
12387,143.94,1,Low Value
12388,3901.11,8,Medium Value
12389,1433.33,3,Low Value
12390,549.84,1,Low Value
12391,2724.84,6,Medium Value
12392,234.75000000000003,1,Low Value
12393,2399.4500000000003,6,Medium Value
12394,1272.48,2,Low Value
12395,4721.17,15,Medium Value
12396,931.43,1,Low Value
12397,2409.9,2,Medium Value
12398,1635.6599999999999,1,Low Value
12399,1962.3,7,Low Value
12400,205.25,1,Low Value
12401,84.3,1,Low Value
12402,1256.9,6,Low Value
12403,1019.36,2,Low Value
12404,63.24,1,Low Value
12405,1710.39,1,Low Value
12406,6390.36,5,High Value
12407,1708.1200000000001,5,Low Value
12408,4340.7699999999995,8,Medium Value
12409,23419.29,7,High Value
12410,1013.71,3,Low Value
12411,346.9,1,Low Value
12412,2596.93,6,Medium Value
12413,999.45,4,Low Value
12414,952.41,6,Low Value
12415,144458.37,28,High Value
12416,202.56,1,Low Value
12417,6797.41,20,High Value
12418,2021.2,4,Low Value
12419,503.01,2,Low Value
12420,600.39,1,Low Value
12421,1098.6,6,Low Value
12422,5231.8,17,Medium Value
12423,2622.39,10,Medium Value
12424,3340.03,4,Medium Value
12425,1741.41,2,Low Value
12426,1345.21,2,Low Value
12427,825.8,3,Low Value
12428,7956.46,9,High Value
12429,6204.41,8,High Value
12430,256.4,1,Low Value
12431,10432.22,27,High Value
12432,5059.32,5,Medium Value
12433,16794.14,10,High Value
12434,1103.43,3,Low Value
12435,13925.93,6,High Value
12436,509.01,1,Low Value
12437,12683.4,39,High Value
12438,2906.85,2,Medium Value
12439,1142.88,2,Low Value
12440,859.2,2,Low Value
12441,173.55,1,Low Value
12442,172.06,1,Low Value
12443,485.31,1,Low Value
12444,5005.46,5,Medium Value
12445,434.98,2,Low Value
12446,1002.3100000000001,1,Low Value
12447,476.49,1,Low Value
12448,449.45,1,Low Value
12449,4835.89,6,Medium Value
12450,688.2,5,Low Value
12451,12669.88,8,High Value
12452,430.57,2,Low Value
12453,707.09,1,Low Value
12454,16679.78,5,High Value
12455,5879.95,10,High Value
12456,3181.04,3,Medium Value
12457,2995.91,8,Medium Value
12458,1777.49,4,Low Value
12459,454.36,1,Low Value
12460,326.65,1,Low Value
12461,826.88,2,Low Value
12462,1189.59,2,Low Value
12463,1344.78,4,Low Value
12464,1212.05,8,Low Value
12465,742.1899999999999,2,Low Value
12466,56.73,1,Low Value
12467,132.8,1,Low Value
12468,3670.74,5,Medium Value
12469,3070.54,2,Medium Value
12470,211.95,1,Low Value
12471,39918.19,79,High Value
12472,16249.289999999999,19,High Value
12473,3928.0499999999997,5,Medium Value
12474,12372.75,31,High Value
12475,1149.64,2,Low Value
12476,14083.91,23,High Value
12477,20276.37,9,High Value
12478,680.99,1,Low Value
12479,527.2,1,Low Value
12480,5464.85,7,Medium Value
12481,12185.51,15,High Value
12482,23691.4,29,High Value
12483,5097.18,19,Medium Value
12484,6354.1,12,High Value
12485,708.1,1,Low Value
12486,1037.28,1,Low Value
12487,285.29999999999995,1,Low Value
12488,1298.66,3,Low Value
12489,334.93,1,Low Value
12490,9823.64,21,High Value
12491,460.40000000000003,1,Low Value
12492,715.21,3,Low Value
12493,433.74,2,Low Value
12494,1815.27,9,Low Value
12495,357.4,1,Low Value
12496,45.34,2,Low Value
12497,6248.5,3,High Value
12498,403.70000000000005,3,Low Value
12499,393.72,1,Low Value
12500,5955.21,19,High Value
12501,2169.39,1,Low Value
12502,3723.87,5,Medium Value
12503,1126.0,1,Low Value
12504,779.05,4,Low Value
12505,955.2,1,Low Value
12506,73.5,1,Low Value
12507,1844.06,4,Low Value
12508,397.88,2,Low Value
12509,176.5,1,Low Value
12510,5178.02,9,Medium Value
12511,3084.02,1,Medium Value
12512,132.18,2,Low Value
12513,612.29,1,Low Value
12514,1597.76,2,Low Value
12515,383.7,1,Low Value
12516,2648.62,4,Medium Value
12517,2481.6,5,Medium Value
12518,2056.89,5,Low Value
12519,716.54,2,Low Value
12520,2634.26,5,Medium Value
12521,599.68,1,Low Value
12522,192.72,2,Low Value
12523,4352.35,23,Medium Value
12524,11126.11,17,High Value
12525,973.73,3,Low Value
12526,1316.66,3,Low Value
12527,735.51,5,Low Value
12528,1933.48,6,Low Value
12529,316.48,1,Low Value
12530,3759.26,9,Medium Value
12531,1933.2,2,Low Value
12532,349.83000000000004,1,Low Value
12533,1367.89,2,Low Value
12534,1089.18,1,Low Value
12535,716.35,2,Low Value
12536,12601.830000000002,3,High Value
12537,732.94,1,Low Value
12538,640.45,2,Low Value
12539,11214.75,7,High Value
12540,22254.49,33,High Value
12541,981.18,3,Low Value
12542,481.88,2,Low Value
12543,980.25,1,Low Value
12544,372.7,1,Low Value
12545,1000.39,2,Low Value
12546,1161.5,2,Low Value
12547,383.58,3,Low Value
12548,95.19999999999999,1,Low Value
12549,1575.68,6,Low Value
12550,964.83,1,Low Value
12551,168.0,1,Low Value
12552,437.82,2,Low Value
12553,4608.75,12,Medium Value
12554,468.5,1,Low Value
12555,129.23,1,Low Value
12556,599.56,2,Low Value
12557,18096.14,8,High Value
12558,269.96,1,Low Value
12559,561.71,2,Low Value
12560,2134.01,3,Low Value
12561,238.85,1,Low Value
12562,4966.92,9,Medium Value
12563,249.24,1,Low Value
12564,456.9,1,Low Value
12565,145.92,1,Low Value
12566,351.65,1,Low Value
12567,11767.48,15,High Value
12568,70.0,1,Low Value
12569,4124.69,32,Medium Value
12570,77.52,1,Low Value
12571,519.61,2,Low Value
12572,1020.42,2,Low Value
12573,717.41,5,Low Value
12574,218.45,1,Low Value
12575,622.8199999999999,2,Low Value
12576,2142.72,8,Low Value
12577,1617.1,8,Low Value
