Customer ID,InvoiceDate,Recency,Purchase_Frequency,Monetary_Value,R_Score,F_Score,M_Score,RFM_Score,Customer_Tenure,Average_Order_Value,Purchase_Velocity,Daily_Value,Engagement_Score,CLV_Segment
12346,2011-01-18 10:01:00,325,12,77556.46,2,5,5,255,325,6463.038333333334,0.03680981595092025,237.90325153374235,3900,High Value
12347,2011-12-07 15:52:00,1,8,4921.53,5,4,5,545,1,615.19125,4.0,2460.765,8,Medium Value
12348,2011-09-25 13:13:00,74,5,2019.4,3,4,4,344,74,403.88,0.06666666666666667,26.925333333333334,370,Low Value
12349,2011-11-21 09:51:00,18,4,4428.69,5,3,5,535,18,1107.1725,0.21052631578947367,233.08894736842103,72,Medium Value
12350,2011-02-02 16:01:00,309,1,334.4,2,1,2,212,309,334.4,0.0032258064516129032,1.0787096774193548,309,Low Value
12351,2010-11-29 15:23:00,374,1,300.93,2,1,2,212,374,300.93,0.0026666666666666666,0.80248,374,Low Value
12352,2011-11-03 14:37:00,35,10,2849.84,4,5,4,454,35,284.98400000000004,0.2777777777777778,79.16222222222223,350,Medium Value
12353,2011-05-19 17:47:00,203,2,406.76,2,2,2,222,203,203.38,0.00980392156862745,1.993921568627451,406,Low Value
12354,2011-04-21 13:11:00,231,1,1079.4,2,1,3,213,231,1079.4,0.004310344827586207,4.652586206896552,231,Low Value
12355,2011-05-09 13:49:00,213,2,947.61,2,2,3,223,213,473.805,0.009345794392523364,4.4280841121495325,426,Low Value
12356,2011-11-17 08:40:00,22,6,6371.73,4,4,5,445,22,1061.955,0.2608695652173913,277.03173913043474,132,High Value
12357,2011-11-06 16:07:00,32,3,18287.66,4,3,5,435,32,6095.886666666666,0.09090909090909091,554.1715151515151,96,High Value
12358,2011-12-08 10:26:00,1,5,3887.07,5,4,5,545,1,777.414,2.5,1943.535,5,Medium Value
12359,2011-10-13 12:47:00,57,10,8873.39,4,5,5,455,57,887.3389999999999,0.1724137931034483,152.98948275862068,570,High Value
12360,2011-10-18 15:22:00,51,8,4252.89,4,4,5,445,51,531.61125,0.15384615384615385,81.78634615384615,408,Medium Value
12361,2011-02-25 13:51:00,286,4,511.25,2,3,2,232,286,127.8125,0.013937282229965157,1.7813588850174216,1144,Low Value
12362,2011-12-06 15:40:00,2,11,5356.23,5,5,5,555,2,486.92999999999995,3.6666666666666665,1785.4099999999999,22,Medium Value
12363,2011-08-22 10:18:00,109,2,552.0,3,2,2,322,109,276.0,0.01818181818181818,5.0181818181818185,218,Low Value
12364,2011-12-02 10:22:00,7,4,1313.1,5,3,4,534,7,328.275,0.5,164.1375,28,Low Value
12365,2011-02-21 14:04:00,290,2,641.38,2,2,3,223,290,320.69,0.006872852233676976,2.2040549828178695,580,Low Value
12366,2010-03-16 10:28:00,633,1,500.24,1,1,2,112,633,500.24,0.0015772870662460567,0.7890220820189274,633,Low Value
12367,2011-12-05 16:48:00,3,1,168.9,5,1,1,511,3,168.9,0.25,42.225,3,Low Value
12368,2010-03-21 15:56:00,627,1,917.6999999999999,1,1,3,113,627,917.6999999999999,0.0015923566878980893,1.4613057324840764,627,Low Value
12369,2010-10-22 13:13:00,412,3,1791.15,1,3,4,134,412,597.0500000000001,0.007263922518159807,4.336924939467313,1236,Low Value
12370,2011-10-19 14:51:00,50,7,4316.56,4,4,5,445,50,616.6514285714286,0.13725490196078433,84.63843137254902,350,Medium Value
12371,2011-10-26 10:16:00,44,5,4067.38,4,4,5,445,44,813.476,0.1111111111111111,90.38622222222223,220,Medium Value
12372,2011-09-29 12:12:00,71,3,1298.04,3,3,4,334,71,432.68,0.041666666666666664,18.028333333333332,213,Low Value
12373,2011-02-01 13:10:00,310,3,1127.65,2,3,3,233,310,375.8833333333334,0.00964630225080386,3.625884244372991,930,Low Value
12374,2011-11-14 15:37:00,24,4,2989.2200000000003,4,3,5,435,24,747.3050000000001,0.16,119.56880000000001,96,Medium Value
12375,2011-11-29 10:36:00,10,2,457.5,5,2,2,522,10,228.75,0.18181818181818182,41.59090909090909,20,Low Value
12376,2010-11-15 12:15:00,389,2,503.15,2,2,2,222,389,251.575,0.005128205128205128,1.290128205128205,778,Low Value
12377,2011-01-28 15:45:00,314,4,3426.32,2,3,5,235,314,856.58,0.012698412698412698,10.87720634920635,1256,Medium Value
12378,2011-08-02 10:34:00,129,2,5416.32,3,2,5,325,129,2708.16,0.015384615384615385,41.663999999999994,258,Medium Value
12379,2011-09-19 10:09:00,81,4,1620.22,3,3,4,334,81,405.055,0.04878048780487805,19.758780487804877,324,Low Value
12380,2011-11-18 11:27:00,21,11,9676.300000000001,4,5,5,455,21,879.6636363636364,0.5,439.8318181818182,231,High Value
12381,2011-12-05 12:44:00,4,5,1845.31,5,4,4,544,4,369.062,1.0,369.062,20,Low Value
12383,2011-06-08 08:02:00,184,5,1850.56,3,4,4,344,184,370.11199999999997,0.02702702702702703,10.003027027027027,920,Low Value
12384,2011-11-11 08:39:00,28,2,585.27,4,2,2,422,28,292.635,0.06896551724137931,20.181724137931035,56,Low Value
12385,2010-11-25 15:14:00,378,1,1938.4,2,1,4,214,378,1938.4,0.002638522427440633,5.114511873350923,378,Low Value
12386,2011-01-06 12:37:00,337,2,401.9,2,2,2,222,337,200.95,0.005917159763313609,1.1890532544378698,674,Low Value
12387,2010-10-20 16:27:00,414,1,143.94,1,1,1,111,414,143.94,0.0024096385542168677,0.34684337349397587,414,Low Value
12388,2011-11-24 12:30:00,15,8,3901.11,5,4,5,545,15,487.63875,0.5,243.819375,120,Medium Value
12389,2010-11-02 11:52:00,402,3,1433.33,2,3,4,234,402,477.77666666666664,0.007444168734491315,3.5566501240694786,1206,Low Value
12390,2011-09-21 09:33:00,79,1,549.84,3,1,2,312,79,549.84,0.0125,6.873,79,Low Value
12391,2011-11-18 12:07:00,21,6,2724.84,4,4,4,444,21,454.14000000000004,0.2727272727272727,123.85636363636364,126,Medium Value
12392,2010-04-27 14:04:00,590,1,234.75000000000003,1,1,1,111,590,234.75000000000003,0.001692047377326565,0.3972081218274112,590,Low Value
12393,2011-09-28 15:41:00,71,6,2399.4500000000003,3,4,4,344,71,399.90833333333336,0.08333333333333333,33.32569444444445,426,Medium Value
12394,2011-10-07 08:08:00,63,2,1272.48,3,2,4,324,63,636.24,0.03125,19.8825,126,Low Value
12395,2011-11-20 15:21:00,18,15,4721.17,5,5,5,555,18,314.74466666666666,0.7894736842105263,248.48263157894738,270,Medium Value
12396,2010-02-03 13:22:00,673,1,931.43,1,1,3,113,673,931.43,0.001483679525222552,1.3819436201780415,673,Low Value
12397,2011-11-04 09:52:00,35,2,2409.9,4,2,4,424,35,1204.95,0.05555555555555555,66.94166666666666,70,Medium Value
