Customer ID,InvoiceDate,Recency,Purchase_Frequency,Monetary_Value,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,18-01-2011 10:01,326,12,77556.46,2,5,5,255,At Risk
12347,07-12-2011 15:52,2,8,4921.53,5,4,5,545,At Risk
12348,25-09-2011 13:13,75,5,2019.4,3,4,4,344,At Risk
12349,21-11-2011 09:51,19,4,4428.69,5,3,5,535,At Risk
12350,02-02-2011 16:01,310,1,334.4,2,1,2,212,Lost Customers
12351,29-11-2010 15:23,375,1,300.93,2,1,2,212,Lost Customers
12352,03-11-2011 14:37,36,10,2849.84,4,5,4,454,At Risk
12353,19-05-2011 17:47,204,2,406.76,2,2,2,222,Lost Customers
12354,21-04-2011 13:11,232,1,1079.4,2,1,3,213,Lost Customers
12355,09-05-2011 13:49,214,2,947.61,2,2,3,223,Lost Customers
12356,17-11-2011 08:40,23,6,6371.73,4,4,5,445,At Risk
12357,06-11-2011 16:07,33,3,18287.66,4,3,5,435,At Risk
12358,08-12-2011 10:26,2,5,3887.07,5,4,5,545,At Risk
12359,13-10-2011 12:47,58,10,8873.39,4,5,5,455,At Risk
12360,18-10-2011 15:22,52,8,4252.89,4,4,5,445,At Risk
12361,25-02-2011 13:51,287,4,511.25,2,3,2,232,At Risk
12362,06-12-2011 15:40,3,11,5356.23,5,5,5,555,At Risk
12363,22-08-2011 10:18,110,2,552,3,2,2,322,Lost Customers
12364,02-12-2011 10:22,8,4,1313.1,5,3,4,534,At Risk
12365,21-02-2011 14:04,291,2,641.38,2,2,3,223,Lost Customers
12366,16-03-2010 10:28,634,1,500.24,1,1,2,112,Others
12367,05-12-2011 16:48,4,1,168.9,5,1,1,511,Lost Customers
12368,21-03-2010 15:56,628,1,917.7,1,1,3,113,Others
12369,22-10-2010 13:13,413,3,1791.15,1,3,4,134,Loyal Customers
12370,19-10-2011 14:51,51,7,4316.56,4,4,5,445,At Risk
12371,26-10-2011 10:16,45,5,4067.38,4,4,5,445,At Risk
12372,29-09-2011 12:12,72,3,1298.04,3,3,4,334,At Risk
12373,01-02-2011 13:10,311,3,1127.65,2,3,3,233,At Risk
12374,14-11-2011 15:37,25,4,2989.22,4,3,5,435,At Risk
12375,29-11-2011 10:36,11,2,457.5,5,2,2,522,Lost Customers
12376,15-11-2010 12:15,390,2,503.15,2,2,2,222,Lost Customers
12377,28-01-2011 15:45,315,4,3426.32,2,3,5,235,At Risk
12378,02-08-2011 10:34,130,2,5416.32,3,2,5,325,Lost Customers
12379,19-09-2011 10:09,82,4,1620.22,3,3,4,334,At Risk
12380,18-11-2011 11:27,22,11,9676.3,4,5,5,455,At Risk
12381,05-12-2011 12:44,5,5,1845.31,5,4,4,544,At Risk
12383,08-06-2011 08:02,185,5,1850.56,3,4,4,344,At Risk
12384,11-11-2011 08:39,29,2,585.27,4,2,2,422,Lost Customers
12385,25-11-2010 15:14,379,1,1938.4,2,1,4,214,Lost Customers
12386,06-01-2011 12:37,338,2,401.9,2,2,2,222,Lost Customers
12387,20-10-2010 16:27,415,1,143.94,1,1,1,111,Others
12388,24-11-2011 12:30,16,8,3901.11,5,4,5,545,At Risk
12389,02-11-2010 11:52,403,3,1433.33,2,3,4,234,At Risk
12390,21-09-2011 09:33,80,1,549.84,3,1,2,312,Lost Customers
12391,18-11-2011 12:07,22,6,2724.84,4,4,4,444,At Risk
12392,27-04-2010 14:04,591,1,234.75,1,1,1,111,Others
12393,28-09-2011 15:41,72,6,2399.45,3,4,4,344,At Risk
12394,07-10-2011 08:08,64,2,1272.48,3,2,4,324,Lost Customers
12395,20-11-2011 15:21,19,15,4721.17,5,5,5,555,At Risk
12396,03-02-2010 13:22,674,1,931.43,1,1,3,113,Others
12397,04-11-2011 09:52,36,2,2409.9,4,2,4,424,Lost Customers
12398,25-10-2011 10:27,46,1,1635.66,4,1,4,414,Lost Customers
12399,12-08-2011 13:15,119,7,1962.3,3,4,4,344,At Risk
12400,21-10-2010 13:45,414,1,205.25,1,1,1,111,Others
12401,09-02-2011 13:50,303,1,84.3,2,1,1,211,Lost Customers
12402,20-01-2011 13:49,323,6,1256.9,2,4,4,244,At Risk
12403,21-10-2011 10:51,50,2,1019.36,4,2,3,423,Lost Customers
12404,26-01-2010 16:25,682,1,63.24,1,1,1,111,Others
12405,14-07-2011 08:52,149,1,1710.39,3,1,4,314,Lost Customers
12406,17-11-2011 19:22,22,5,6390.36,4,4,5,445,At Risk
12407,21-10-2011 10:11,50,5,1708.12,4,4,4,444,At Risk
12408,07-11-2011 12:27,33,8,4340.77,4,4,5,445,At Risk
12409,22-09-2011 10:38,79,7,23419.29,3,4,5,345,At Risk
12410,04-02-2011 10:39,309,3,1013.71,2,3,3,233,At Risk
12411,26-10-2010 09:25,410,1,346.9,2,1,2,212,Lost Customers
12412,26-09-2011 10:16,75,6,2596.93,3,4,4,344,At Risk
12413,04-10-2011 09:00,67,4,999.45,3,3,3,333,At Risk
12414,06-05-2011 14:51,217,6,952.41,2,4,3,243,At Risk
12415,15-11-2011 14:22,24,28,144458.37,4,5,5,455,At Risk
12416,21-02-2010 10:19,657,1,202.56,1,1,1,111,Others
12417,06-12-2011 14:52,3,20,6797.41,5,5,5,555,At Risk
12418,19-08-2011 11:08,113,4,2021.2,3,3,4,334,At Risk
12419,19-11-2010 10:04,386,2,503.01,2,2,2,222,Lost Customers
12420,07-10-2011 08:55,64,1,600.39,3,1,2,312,Lost Customers
12421,24-11-2011 09:07,16,6,1098.6,5,4,3,543,At Risk
12422,05-09-2011 09:48,96,17,5231.8,3,5,5,355,At Risk
12423,09-12-2011 10:10,1,10,2622.39,5,5,4,554,At Risk
12424,30-06-2011 12:06,163,4,3340.03,3,3,5,335,At Risk
12425,22-09-2011 17:31,78,2,1741.41,3,2,4,324,Lost Customers
12426,29-05-2011 12:26,195,2,1345.21,2,2,4,224,Lost Customers
12427,18-11-2011 08:56,22,3,825.8,4,3,3,433,At Risk
12428,14-11-2011 08:22,26,9,7956.46,4,5,5,455,At Risk
12429,30-11-2011 17:22,9,8,6204.41,5,4,5,545,At Risk
12430,27-10-2011 15:09,43,1,256.4,4,1,1,411,Lost Customers
12431,04-11-2011 11:55,36,27,10432.22,4,5,5,455,At Risk
12432,28-10-2011 11:43,43,5,5059.32,4,4,5,445,At Risk
12433,09-12-2011 10:02,1,10,16794.14,5,5,5,555,At Risk
12434,16-09-2011 12:38,85,3,1103.43,3,3,3,333,At Risk
12435,21-09-2011 09:06,80,6,13925.93,3,4,5,345,At Risk
12436,01-09-2011 12:09,100,1,509.01,3,1,2,312,Lost Customers
12437,08-12-2011 11:35,2,39,12683.4,5,5,5,555,At Risk
12438,25-11-2011 13:28,14,2,2906.85,5,2,4,524,Lost Customers
12439,26-01-2010 12:11,683,2,1142.88,1,2,3,123,Others
12440,03-09-2010 13:11,462,2,859.2,1,2,3,123,Others
12441,08-12-2010 10:45,367,1,173.55,2,1,1,211,Lost Customers
12442,06-12-2011 14:22,3,1,172.06,5,1,1,511,Lost Customers
12443,07-12-2009 15:42,732,1,485.31,1,1,2,112,Others
12444,18-11-2011 13:23,21,5,5005.46,4,4,5,445,At Risk
12445,17-11-2011 18:43,22,2,434.98,4,2,2,422,Lost Customers
12446,13-10-2011 12:50,58,1,1002.31,4,1,3,413,Lost Customers
12447,10-04-2011 13:25,243,1,476.49,2,1,2,212,Lost Customers
12448,26-10-2011 13:46,44,1,449.45,4,1,2,412,Lost Customers
12449,17-11-2011 13:46,22,6,4835.89,4,4,5,445,At Risk
12450,06-07-2011 14:41,156,5,688.2,3,4,3,343,At Risk
12451,29-11-2011 08:40,11,8,12669.88,5,4,5,545,At Risk
12452,23-11-2011 10:28,17,2,430.57,5,2,2,522,Lost Customers
12453,28-07-2011 14:08,134,1,707.09,3,1,3,313,Lost Customers
12454,14-10-2011 17:13,56,5,16679.78,4,4,5,445,At Risk
12455,27-09-2011 15:31,73,10,5879.95,3,5,5,355,At Risk
12456,26-10-2011 14:41,44,3,3181.04,4,3,5,435,At Risk
